IDENTIFICATION (dénomination sociale),Nom commercial,Arrêté du,JORF – Date
LA DÉPÊCHE NEWS,-,10/09/2003,20/09/2003
LA PALETTE à DOUDOUCE PAD,-,31/12/2009,12/01/2010
LA RIEUSE PROD,,27/04/2022,04/05/2022
LABEL IMAGES,,30/03/2021,13/04/2021
LABEL NEWS,-,19/02/2016,27/02/2016
LAG PRESSE,-,09/07/2018,18/07/2018
LES CHEMINEURS,,30/03/2021,13/03/2021
LES FILMS DE L'ODYSSEE,,26/07/2022,04/08/2022
LF PRODUCTION,,02/07/2025,27/09/2025
LINK PRODUCTION,-,02/11/2006,11/11/2006
LNJJ,-,28/03/2011,05/04/2011
MAGNUM PHOTOS,-,26/02/1962,02/03/1962
MAX P.P.P.,-,19/02/1993,27/02/1993
MAXIMAL NEWS TÉLÉVISION,-,08/01/2003,11/01/2003
MÉDIA SERVICES,-,14/01/2015,14/02/2015
MENTHE POIVREE LTD,-,03/05/2017,07/05/2017
NAJA,-,01/03/1989,11/04/1989
NEWS PICTURES,-,13/04/2010,22/04/2010
NMTV,-,08/10/1998,22/10/1998
NOMADES,-,24/01/2008,01/02/2008
OLIGOPRESSE,-,09/09/2016,21/09/2016
OR MEDIAS,-,19/02/2016,27/02/2016
ORANGE DOUCE,,21/06/2022,05/07/2022
PALLAS TV,-,08/07/2013,17/07/2013
PAPIXS,-,30/04/2009,15/05/2009
PARIS PRESS,-,10/09/2003,20/09/2003
PATRICK ROBERT PHOTO,-,31/08/2006,13/09/2006
PATRICK SPICA PRESSE,-,24/01/2008,01/02/2008
PEYRE ARSE PRESSE,-,01/06/2006,29/06/2006
PHILÉAS INFO,-,27/06/2000,12/07/2000
PIMENTS POURPRES PRODUCTIONS,-,27/08/2012,08/09/2012
PITCH TV,,20/02/2020,27/02/2020
PLURIMEDIA,-,23/04/1990,03/05/1990
POOL AFRICA,,15/05/2023,22/06/2023
PREMIÈRES LIGNES TÉLÉVISION,PLT,01/08/2008,13/08/2008
PRESSE INFOS PLUS,-,12/10/2011,20/10/2011
PRESSE-SPORTS,-,21/02/1962,02/03/1962
PRESSPEPPER,-,19/02/2016,27/02/2016
PRODUCTIONS TONY COMITI,,23/01/1998,31/01/1991
PROGRAM 33,,26/04/2024,16/06/2024
PSNEWZ,,02/07/2025,27/09/2025
RADIO CARAÏBES INTERNATIONAL NEWS,RCI NEWS,30/04/2009,12/05/2009
REGAMEDIA,-,06/04/2012,03/05/2012
REPORTERS ECONOMIQUES ASSOCIES RÉA,-,26/04/2024,16/06/2024
RMC SPORT,-,13/04/2010,22/04/2010
R’MED,,05/11/2025,26/12/2025
ROSEBUD PRODUCTIONS,-,08/07/2013,17/07/2013
SAAAAN,,15/05/2023,22/06/2023
SEIYA PRODUCTION,,03/04/2025,04/06/2025
SIPA PRESS,-,16/10/1974,08/11/1974
SMARTRADIO,,02/08/2021,25/08/2021
SOCIETE NOUVELLE AGENCE DE PRESSE MAGAZINE,-,02/09/2015,12/09/2015
SOCRATE MEDIAS,,02/07/2025,27/09/2025
SODA PRESSE,-,04/01/2012,12/01/2012
SPORTPIXPRESS,SPPRESS,08/07/2013,17/07/2013
STARFACE,,25/01/2017,03/02/2017
STP PRODUCTIONS,-,28/03/2011,05/04/2011
STUDIO FACT PRESSE & DOCS,-,26/02/2008,05/03/2008
TECHNO-CHRONIQUEURS ASSOCIÉS,-,20/12/1994,29/12/1994
TEMPS FORTS,-,09/07/2018,18/07/2018
TOGETHER MEDIA,-,09/07/2018,18/07/2018
TOPSUD,-,30/11/2001,12/12/2001
TOURNEZ S’IL VOUS PLAÎT PRODUCTION,-,10/09/2003,20/09/2003
TOUT ECRIT,-,26/07/2019,08/08/2019
UPIAN PRODUCTIONS,,07/07/2023,20/10/2023
UPSIDE,UPSIDE TELEVISION,08/10/1998,22/10/1998
VISION,-,17/02/1995,18/12/1995
WE.TV,TV BASE-INFO PRESSE,27/08/2012,08/09/2012
WILD ANGLE PRODUCTIONS,-,26/02/2009,06/03/2009
YEMAYA,-,16/10/2010,03/04/2011
YOVACOOK,,25/10/2022,22/12/2022
ZADIG PRESSE,-,09/07/2018,18/07/2018
ZOT & COMPAGNIE PRODUCTION,,15/05/2023,22/06/2023
